iter	RMSE
0	3.07899474
1	2.966254477
2	2.86247979
3	2.758857588
4	2.661101374
5	2.568906678
6	2.481240618
7	2.39830089
8	2.318473435
9	2.242560119
10	2.170316864
11	2.098983932
12	2.031149356
13	1.992724716
14	1.931566244
15	1.883640446
16	1.836940119
17	1.780904623
18	1.729165406
19	1.677187327
20	1.649458534
21	1.603918682
22	1.559785163
23	1.516422354
24	1.467040329
25	1.424216016
26	1.386453773
27	1.350318631
28	1.3148859
29	1.281242391
30	1.248270226
31	1.214058209
32	1.184238658
33	1.156323167
34	1.128400075
35	1.098954519
36	1.07391899
37	1.050084929
38	1.027950252
39	1.002804456
40	0.9829205185
41	0.9598972234
42	0.9469358029
43	0.924977827
44	0.9045338727
45	0.8846541636
46	0.860481984
47	0.8430672048
48	0.8208080274
49	0.8044387318
50	0.7904083214
51	0.7753121386
52	0.765384618
53	0.7560433352
54	0.7423581284
55	0.729994578
56	0.7184365821
57	0.7064662971
58	0.6962491443
59	0.6896452336
60	0.6825047335
61	0.6765804334
62	0.6676550804
63	0.6636625407
64	0.6574066537
65	0.6512328417
66	0.6435189931
67	0.6368827301
68	0.6271818647
69	0.6230230175
70	0.6199640194
71	0.6181948605
72	0.6057849998
73	0.6032304315
74	0.595878662
75	0.5940631403
76	0.5925824989
77	0.5909424855
78	0.5879149821
79	0.5810665729
80	0.5786306763
81	0.568063901
82	0.5657079656
83	0.5556598628
84	0.5514153445
85	0.5438036951
86	0.5424763981
87	0.540769218
88	0.5322055493
89	0.5313243918
90	0.5301564849
91	0.525156979
92	0.5228383007
93	0.5153522801
94	0.514068653
95	0.5128207913
96	0.511517619
97	0.5103002864
98	0.5092531691
99	0.507887914
100	0.5049297709
101	0.5024616799
102	0.5009700363
103	0.4997276493
104	0.4989062771
105	0.4976040649
106	0.4963691832
107	0.495476384
108	0.4920612054
109	0.4894716579
110	0.4882132958
111	0.4870850983
112	0.4861407836
113	0.484837751
114	0.4838017882
115	0.4771984052
116	0.4764618328
117	0.4751280934
118	0.4737599503
119	0.4724779618
120	0.4713392425
121	0.4665226051
122	0.4644601295
123	0.4638664599
124	0.4630300948
125	0.4611489484
126	0.4599413181
127	0.4585820687
128	0.4543624823
129	0.4531002929
130	0.4521541913
131	0.4512826228
132	0.449794309
133	0.4493387195
134	0.448010755
135	0.4425485387
136	0.4413881877
137	0.4399131673
138	0.4385416201
139	0.437526933
140	0.4363073356
141	0.4348015467
142	0.4342233521
143	0.4335589646
144	0.4321114336
145	0.4306263453
146	0.4297680553
147	0.4288353589
148	0.4276980949
149	0.4265921664
150	0.4257133336
151	0.425286789
152	0.4242128239
153	0.422412972
154	0.4212576985
155	0.4203610379
156	0.4192951598
157	0.4184612759
158	0.4172778756
159	0.4162014604
160	0.4155216306
161	0.4142715497
162	0.412666885
163	0.4116345576
164	0.4105159124
165	0.4092062247
166	0.4063018177
167	0.4056406009
168	0.404803359
169	0.4043142478
170	0.4026496442
171	0.4016155739
172	0.4007364218
173	0.400013105
174	0.3988903422
175	0.3980915427
176	0.3969703125
177	0.3960036785
178	0.3951968662
179	0.3938316753
180	0.3930258673
181	0.3923358568
182	0.3911403608
183	0.3892685233
184	0.3887727961
185	0.3880412197
186	0.386939925
187	0.3865204987
188	0.3854994875
189	0.3844773742
190	0.3833118739
191	0.382161347
192	0.3813449767
193	0.3807718651
194	0.3800323216
195	0.3789077347
196	0.3780951109
197	0.377391623
198	0.3751231188
199	0.374069728
200	0.3697327336
201	0.3672821509
202	0.3664045151
203	0.3655866694
204	0.3638825875
205	0.3600490475
206	0.3582499843
207	0.3573252743
208	0.3564488234
209	0.3557547975
210	0.3551087127
211	0.3544629044
212	0.3535670506
213	0.3527847833
214	0.3520504831
215	0.3484804048
216	0.3477158317
217	0.3469755091
218	0.3461124423
219	0.345266506
220	0.3443360848
221	0.3436439221
222	0.3433199066
223	0.34306149
224	0.3419668848
225	0.341058445
226	0.3399617758
227	0.3394280058
228	0.3387959331
229	0.3380317203
230	0.3374516306
231	0.3366569332
232	0.3356459715
233	0.3341490254
234	0.3332616599
235	0.3323522059
236	0.331706779
237	0.3310110703
238	0.3301212601
239	0.3295818609
240	0.3285110071
241	0.3274288466
242	0.326701653
243	0.3234673997
244	0.3223355604
245	0.3212165461
246	0.3209751227
247	0.3206284278
248	0.3188507001
249	0.3182289608
250	0.3177312415
251	0.3168651804
252	0.3165687209
253	0.3150178878
254	0.3144261739
255	0.313858968
256	0.313337233
257	0.3124755058
258	0.3117997243
259	0.3106861861
260	0.3094666064
261	0.308807258
262	0.3059100836
263	0.3055267478
264	0.3052159699
265	0.3041639296
266	0.303546837
267	0.3028754971
268	0.3017483384
269	0.3012284866
270	0.3006213519
271	0.3001244965
272	0.2992053328
273	0.2983260292
274	0.2976185395
275	0.2969043914
276	0.2965355058
277	0.2955461544
278	0.2950058151
279	0.2942940909
280	0.2940209377
281	0.2937474854
282	0.2934866522
283	0.2932208905
284	0.2929230523
285	0.2921832827
286	0.2912399663
287	0.2905490366
288	0.2899193132
289	0.2891674485
290	0.2885175184
291	0.2875979148
292	0.287258527
293	0.2864524374
294	0.2861115494
295	0.2834738987
296	0.2829702968
297	0.2821005609
298	0.2815097165
299	0.2803607326
300	0.2797839312
301	0.2792878942
302	0.2785440857
303	0.2782117308
304	0.2776291246
305	0.2767552425
306	0.2759031134
307	0.2751602468
308	0.2748702045
309	0.2742383235
310	0.2739146817
311	0.2736669483
312	0.2731284134
313	0.2722426884
314	0.2716646327
315	0.2710915295
316	0.270120863
317	0.2698838662
318	0.2690876683
319	0.2685595783
320	0.2677782773
321	0.2675412982
322	0.2670079177
323	0.2663641543
324	0.265797479
325	0.2652167635
326	0.2643801533
327	0.2637633197
328	0.263044479
329	0.2628183178
330	0.262342099
331	0.2604837885
332	0.2597604957
333	0.2594565653
334	0.2589208305
335	0.2585001849
336	0.2579604602
337	0.2572759464
338	0.2567759713
339	0.2563719108
340	0.2552254381
341	0.2550209279
342	0.2544683499
343	0.2540121449
344	0.2536125794
345	0.2529098412
346	0.2524150018
347	0.2519230524
348	0.2513313698
349	0.2508345057
350	0.2503654372
351	0.2500490485
352	0.2498382012
353	0.2481401544
354	0.2476499639
355	0.2471905667
356	0.2466353144
357	0.2461657123
358	0.245315654
359	0.2448629597
360	0.2444139206
361	0.2438405823
362	0.2434921009
363	0.2432284242
364	0.2427660971
365	0.2421536146
366	0.2417150069
367	0.2415550329
368	0.2409059679
369	0.2405587648
370	0.239602026
371	0.2392071863
372	0.2388071962
373	0.2383031957
374	0.2377176056
375	0.2372760957
376	0.2363926988
377	0.2359497573
378	0.2353882715
379	0.2348854242
380	0.2333684069
381	0.2327431665
382	0.2324822824
383	0.2321791625
384	0.2314306761
385	0.2308610428
386	0.2303653399
387	0.2298420224
388	0.2291477058
389	0.228626854
390	0.2280440498
391	0.227587208
392	0.2272559258
393	0.2268586492
394	0.2264002649
395	0.2251211465
396	0.2246806878
397	0.2240854046
398	0.2237486318
399	0.2231703054
400	0.2226871054
401	0.2224811447
402	0.2218165145
403	0.2211876691
404	0.2208832904
405	0.2201108493
406	0.2195445439
407	0.218979488
408	0.2184793843
409	0.2179305574
410	0.2173767745
411	0.2168275094
412	0.2162111435
413	0.2157393945
414	0.2154186866
415	0.2150941551
416	0.2145940088
417	0.214037638
418	0.2128309662
419	0.2125551676
420	0.2123638251
421	0.2120788963
422	0.2115688592
423	0.2108900375
424	0.2106418525
425	0.2104738584
426	0.2099031502
427	0.2095235786
428	0.2092700921
429	0.2089462748
430	0.2085496139
431	0.2079890576
432	0.207681893
433	0.2071512562
434	0.206767826
435	0.2066432786
436	0.2062683136
437	0.2059698755
438	0.2056547433
439	0.2055261999
440	0.2051363933
441	0.2047879598
442	0.2042977349
443	0.2038636956
444	0.2033913547
445	0.2028684952
446	0.2024414724
447	0.2020313654
448	0.2014645093
449	0.2009597888
450	0.2008452635
451	0.2007142073
452	0.2006691116
453	0.2001208447
454	0.1998567026
455	0.1992894662
456	0.1989914659
457	0.1985572407
458	0.1980891944
459	0.1977641521
460	0.1974440805
461	0.1971213482
462	0.1966590414
463	0.1963752226
464	0.1959739155
465	0.1955596183
466	0.1953938677
467	0.195142377
468	0.194887441
469	0.1944231227
470	0.194190743
471	0.1938008398
472	0.1936660395
473	0.1932268457
474	0.1928455055
475	0.1924228491
476	0.1920130572
477	0.19179798
478	0.1913903369
479	0.1912743694
480	0.1911482647
481	0.1910003321
482	0.1905249862
483	0.1901882725
484	0.1900960056
485	0.1899777006
486	0.1896414539
487	0.1893733306
488	0.1889350242
489	0.1885344258
490	0.1882371402
491	0.1879072208
492	0.1875611079
493	0.1872273108
494	0.1871365367
495	0.1854607326
496	0.1850281379
497	0.184646994
498	0.1845050366
499	0.1840007061
500	0.1836946276
501	0.1834169508
502	0.183043925
503	0.1824767605
504	0.1821276517
505	0.1818143136
506	0.1814624806
507	0.1810176191
508	0.1806276978
509	0.1804423296
510	0.1803332975
511	0.1802153266
512	0.1798241927
