iter	Passed	Remaining
0	147	147136
1	152	76209
2	157	52476
3	164	40856
4	169	33817
5	176	29294
6	185	26247
7	191	23759
8	196	21665
9	203	20112
10	209	18850
11	216	17792
12	222	16895
13	228	16118
14	234	15418
15	241	14825
16	247	14330
17	253	13841
18	259	13383
19	263	12932
20	269	12565
21	275	12264
22	282	12018
23	288	11751
24	295	11534
25	302	11322
26	308	11102
27	314	10907
28	319	10702
29	325	10515
30	330	10316
31	336	10186
32	342	10045
33	348	9909
34	355	9800
35	361	9683
36	367	9561
37	373	9449
38	383	9446
39	389	9347
40	395	9254
41	402	9173
42	408	9092
43	415	9032
44	422	8966
45	429	8910
46	436	8855
47	444	8823
48	452	8772
49	457	8690
50	463	8622
51	469	8551
52	475	8495
53	481	8438
54	488	8388
55	496	8363
56	502	8311
57	508	8265
58	515	8218
59	521	8172
60	527	8122
61	533	8078
62	541	8055
63	548	8021
64	554	7977
65	560	7930
66	566	7886
67	571	7835
68	576	7778
69	583	7753
70	589	7710
71	595	7677
72	601	7641
73	607	7604
74	613	7570
75	619	7526
76	623	7479
77	629	7445
78	635	7414
79	642	7388
80	649	7372
81	656	7351
82	662	7324
83	669	7295
84	675	7271
85	681	7238
86	687	7214
87	693	7183
88	698	7146
89	704	7120
90	710	7092
91	716	7075
92	723	7058
93	730	7038
94	736	7016
95	747	7040
96	752	7007
97	758	6980
98	764	6956
99	770	6935
100	777	6917
101	783	6899
102	790	6881
103	796	6862
104	802	6842
105	821	6931
106	826	6899
107	832	6879
108	839	6866
109	846	6845
110	852	6826
111	858	6808
112	865	6791
113	871	6775
114	878	6758
115	884	6742
116	891	6727
117	897	6711
118	904	6698
119	912	6689
120	919	6681
121	927	6672
122	936	6678
123	945	6681
124	953	6676
125	960	6663
126	970	6668
127	979	6671
128	988	6673
129	995	6659
130	1013	6721
131	1031	6784
132	1051	6856
133	1069	6909
134	1076	6897
135	1085	6898
136	1093	6886
137	1100	6874
138	1107	6857
139	1114	6844
140	1121	6831
141	1127	6813
142	1135	6803
143	1142	6790
144	1149	6777
145	1156	6766
146	1163	6752
147	1170	6737
148	1177	6726
149	1186	6721
150	1200	6748
151	1212	6762
152	1217	6739
153	1225	6730
154	1248	6808
155	1257	6801
156	1265	6792
157	1272	6779
158	1280	6772
159	1285	6751
160	1293	6738
161	1300	6727
162	1306	6710
163	1312	6692
164	1320	6680
165	1326	6663
166	1333	6649
167	1340	6637
168	1346	6621
169	1353	6606
170	1359	6591
171	1365	6572
172	1372	6558
173	1377	6540
174	1385	6531
175	1391	6515
176	1398	6502
177	1405	6489
178	1411	6474
179	1418	6460
180	1424	6446
181	1432	6439
182	1438	6423
183	1445	6410
184	1453	6404
185	1459	6386
186	1465	6371
187	1472	6358
188	1478	6345
189	1485	6332
190	1493	6324
191	1499	6310
192	1506	6298
193	1512	6284
194	1519	6271
195	1525	6257
196	1531	6244
197	1538	6232
198	1544	6218
199	1551	6207
200	1558	6195
201	1564	6182
202	1571	6168
203	1576	6152
204	1582	6137
205	1588	6122
206	1594	6106
207	1599	6090
208	1606	6079
209	1613	6070
210	1620	6060
211	1629	6056
212	1635	6044
213	1642	6034
214	1649	6023
215	1657	6015
216	1664	6007
217	1673	6002
218	1680	5994
219	1688	5986
220	1694	5971
221	1700	5960
222	1706	5944
223	1712	5933
224	1734	5973
225	1740	5959
226	1746	5947
227	1752	5935
